Study,Temp.F,Batch.Number,Box.Number ,Location,Height.cm
pilot,325,1,1,1,4.4
pilot,325,1,1,2,4.6
pilot,325,1,1,3,4.3
pilot,325,1,1,4,4.5
pilot,325,1,1,5,4.6
pilot,325,1,1,6,4.6
pilot,350,1,1,1,4.1
pilot,350,1,1,2,4.1
pilot,350,1,1,3,4.2
pilot,350,1,1,4,4.4
pilot,350,1,1,5,4.2
pilot,350,1,1,6,4.2
pilot,375,1,1,1,4.2
pilot,375,1,1,2,4.3
pilot,375,1,1,3,4.6
pilot,375,1,1,4,4.5
pilot,375,1,1,5,4.8
pilot,375,1,1,6,4.6
experiment,300,1,2,1,4.4
experiment,300,1,2,2,4.3
experiment,300,1,2,3,4.2
experiment,300,1,2,4,4.4
experiment,300,1,2,5,4.5
experiment,300,1,2,6,4.4
experiment,300,2,2,1,3.9
experiment,300,2,2,2,4.1
experiment,300,2,2,3,4
experiment,300,2,2,4,3.8
experiment,300,2,2,5,3.9
experiment,300,2,2,6,3.9
experiment,300,3,2,1,3.9
experiment,300,3,2,2,3.6
experiment,300,3,2,3,3.8
experiment,300,3,2,4,3.7
experiment,300,3,2,5,3.7
experiment,300,3,2,6,3.9
experiment,325,2,3,1,4.5
experiment,325,2,3,2,4.2
experiment,325,2,3,3,4.2
experiment,325,2,3,4,4.1
experiment,325,2,3,5,4.2
experiment,325,2,3,6,4.3
experiment,325,3,3,1,4.2
experiment,325,3,3,2,4.3
experiment,325,3,3,3,4.3
experiment,325,3,3,4,4.1
experiment,325,3,3,5,4.3
experiment,325,3,3,6,4.3
experiment,350,2,3,1,4.2
experiment,350,2,3,2,4.3
experiment,350,2,3,3,3.9
experiment,350,2,3,4,4.3
experiment,350,2,3,5,4.4
experiment,350,2,3,6,4.2
experiment,350,3,3,1,4.1
experiment,350,3,3,2,4.6
experiment,350,3,3,3,4.4
experiment,350,3,3,4,4.7
experiment,350,3,3,5,4.6
experiment,350,3,3,6,4.5
experiment,375,2,4,1,4.6
experiment,375,2,4,2,4.5
experiment,375,2,4,3,4.6
experiment,375,2,4,4,4.4
experiment,375,2,4,5,4.6
experiment,375,2,4,6,4.7
experiment,375,3,4,1,4.6
experiment,375,3,4,2,4.5
experiment,375,3,4,3,4.3
experiment,375,3,4,4,4.5
experiment,375,3,4,5,4.6
experiment,375,3,4,6,4.4
